Metric,Base,Stress,Delta_abs,Delta_pct
Expected Loss,30751458.9075,45037026.023625,14285567.116125003,46.45492481867546
VaR 95%,31289473.125,45552142.125,14262669.0,45.58296313594447
Expected Shortfall 95%,31426224.525,45678556.7775,14252332.252500005,45.351716497672435
