,person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_cred_hist_length
count,0.0,0.0,827.0,0.0,0.0,0.0,0.0,0.0
mean,-0.28527066010521196,-3635.0548786696017,-0.10896765889287519,-172.55472594603816,-0.00010656711352652337,0.0,-0.0014125233327677011,-0.09594434074325431
std,-1.043285932941724,-30140.971446267784,-0.43893163308540606,-485.1299800276465,-0.0003696489327920105,0.0,-0.004486894111612225,-0.3369768248039797
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,-103.5,-5860000.0,-108.5,-11875.0,-1.394999999999996,0.0,-0.3899999999999999,-14.5
