,person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_cred_hist_length
count,29465.0,29465.0,29465.0,29465.0,29465.0,29465.0,29465.0,29465.0
mean,27.429441710503987,62385.41561174275,4.679704734430681,9412.189886305787,11.011588325131513,0.2193789241472934,0.16869743763787545,5.692312913626337
std,5.256907230110583,31760.451485475478,3.7156950370980883,5831.142301709327,3.240089816023133,0.4138328455141444,0.10239214036827086,3.6950104725020503
min,20.0,4000.0,0.0,500.0,5.42,0.0,0.0,2.0
25%,23.0,38500.0,2.0,5000.0,7.9,0.0,0.09,3.0
50%,26.0,55000.0,4.0,8000.0,10.99,0.0,0.15,4.0
75%,30.0,79100.0,7.0,12250.0,13.47,0.0,0.23,8.0
max,40.5,140000.0,14.5,23125.0,21.825000000000003,1.0,0.44000000000000006,15.5
