,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-3.5001193475575376,0.07693014025149093,-45.49737380063731,0.0,-3.650899651776075,-3.3493390433390005
person_income,-4.1623967496933796e-05,8.366898692353566e-07,-49.748382318736056,0.0,-4.326384950686462e-05,-3.998408548700297e-05
loan_amnt,0.00012259526296381023,3.292888682494977e-06,37.23030894288278,2.2071376455534566e-303,0.00011614131974102052,0.00012904920618659994
loan_int_rate,0.2835480881567567,0.0055767013842782905,50.845126647112394,0.0,0.2726179542910366,0.2944782220224768
cb_person_cred_hist_length,-0.0013602030194247428,0.004419547273230686,-0.3077697635826928,0.7582575306916397,-0.010022356502929089,0.0073019504640796035
